sample_id,split,model_height,model_width,num_filters,iterations,solve_time_seconds,objective,data_fidelity,reg_l1,primal_residual,dual_residual,nonzero_coefficients,total_coefficients,coefficient_density,mean_abs_coefficient,l1_norm
tubingen_000052_000019,train,256,512,16,35,3.657764400006272,18.674733638763428,7.164453983306885,294.2519836425781,0.00491184601560235,0.003253520932048559,18109,2097152,0.00863504409790039,0.00013477736501954496,282.64862060546875
aachen_000041_000019,train,256,512,16,35,3.6407660000259057,13.825114250183105,5.084660530090332,223.44338989257812,0.004893205128610134,0.0032510804012417793,12311,2097152,0.005870342254638672,0.00010140181984752417,212.655029296875
zurich_000041_000019,train,256,512,16,35,3.6252146000042558,20.371249198913574,5.692028999328613,375.263671875,0.004854850471019745,0.004516287706792355,18553,2097152,0.008846759796142578,0.00017226996715180576,361.27630615234375
hamburg_000000_027304,train,256,512,16,35,3.6972811999730766,27.091038703918457,7.447390556335449,502.1756896972656,0.004371796268969774,0.004787007812410593,23107,2097152,0.01101827621459961,0.00023251913080457598,487.6279602050781
bremen_000217_000019,train,256,512,16,37,3.82929119997425,10.428199529647827,3.8827850818634033,167.32879638671875,0.004750851541757584,0.002786764409393072,9646,2097152,0.004599571228027344,7.560389349237084e-05,158.5528564453125
tubingen_000056_000019,train,256,512,16,35,3.5017404000391252,16.99561882019043,4.791129112243652,311.99896240234375,0.004985118750482798,0.004400322213768959,15399,2097152,0.007342815399169922,0.00014241322060115635,298.66217041015625
strasbourg_000000_013223,train,256,512,16,37,3.850569100002758,9.684911251068115,3.753884792327881,151.62240600585938,0.004975480027496815,0.002534977626055479,8915,2097152,0.004251003265380859,6.765908619854599e-05,141.89138793945312
strasbourg_000001_024152,train,256,512,16,35,3.6042186999693513,18.4853458404541,5.81728458404541,323.849853515625,0.004806134849786758,0.004152574110776186,16340,2097152,0.0077915191650390625,0.0001485381944803521,311.5071716308594
zurich_000014_000019,train,256,512,16,35,3.6158157999743707,17.430881023406982,4.941803455352783,319.2742614746094,0.0048636170104146,0.004586535971611738,15643,2097152,0.007459163665771484,0.0001459660124965012,306.1129150390625
frankfurt_000000_012868,val,256,512,16,36,3.833328899985645,29.05752944946289,7.74456787109375,544.8504638671875,0.00435556611046195,0.004923631437122822,24607,2097152,0.011733531951904297,0.00025277287932112813,530.1031494140625
frankfurt_000000_017476,val,256,512,16,34,3.5764452000148594,17.559936046600342,5.829436779022217,299.8817443847656,0.004982403013855219,0.004333142191171646,14756,2097152,0.0070362091064453125,0.0001367053628200665,286.6919250488281
frankfurt_000000_022797,val,256,512,16,35,3.651167700008955,24.527148246765137,6.712128639221191,455.4281311035156,0.0045713703148067,0.004986437503248453,21236,2097152,0.010126113891601562,0.00021036880207248032,441.17535400390625
frankfurt_000000_009561,val,256,512,16,35,3.8555327000212856,16.349101066589355,5.351804733276367,281.137939453125,0.004887565970420837,0.0038206842727959156,15065,2097152,0.007183551788330078,0.00012822197459172457,268.9009704589844
munster_000058_000019,val,256,512,16,37,4.010789300024044,9.575039386749268,3.685849189758301,150.5529022216797,0.004974782932549715,0.002576315077021718,9772,2097152,0.0046596527099609375,6.777698581572622e-05,142.13864135742188
frankfurt_000000_022254,val,256,512,16,36,3.8575541999889538,13.16010594367981,3.979497194290161,234.6956329345703,0.004847895819693804,0.003651922568678856,12434,2097152,0.005928993225097656,0.00010663199645932764,223.62350463867188
